club_profile_user21_team_trace | seed=424242 years=3
trace_team_ids=[1, 2, 3, 4, 5, 7, 11, 12, 13, 14, 15, 18, 19, 21, 25, 26, 27, 29, 33, 38, 46]

=== opening ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
18 '仙台46ers' push 0 0 0 0 0 0 0 27.15 68.23
19 '秋田ノースラッキーズ' hold 1 1 2 0 1 1 0 26.15 65.31
21 '越谷ガンマズ' push 0 0 0 0 0 0 0 26.77 65.85
25 '滋賀リバーズ' push 0 0 0 0 0 0 1 26.31 67.69
26 '京都ホーネッツ' push 0 0 0 0 1 1 1 25.08 70.54
27 '神戸スパーズ' push 0 0 0 0 0 0 0 26.92 65.15
29 '福岡ファルコンズ' hold 0 0 0 0 0 0 0 25.85 65.46
33 '青森ワルツ' push 0 0 0 0 1 1 0 27.62 71.54
38 '奈良ディアーズ' hold 0 0 0 0 0 0 0 27.08 65.23
46 '鳥取サキューズ' push 1 1 2 0 1 1 0 27.54 70.38

=== after_season_y3 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
1 'エルバード東京' push 0 0 0 0 0 0 0 26.08 66.38
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 28.92 70.92
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 26.08 73.00
4 '宇都宮ブレイバーズ' push 0 0 0 0 0 0 0 27.54 67.38
5 '名古屋ハートホエールズ' push 0 0 0 0 1 1 0 26.54 68.31
7 '川崎ブレイクライトニング' push 0 0 0 0 1 1 0 27.46 64.92
11 '広島タイガーランズ' push 0 0 0 1 0 0 4 25.23 68.85
12 'シンライダーズ渋谷' push 0 0 0 0 1 1 0 26.00 68.85
13 '大阪エビーズ' push 0 0 0 0 0 0 0 28.31 67.77
14 '浜松サンダーバーズ' push 0 0 0 0 0 0 1 26.85 65.31
15 '島根カグヅチウィザーズ' push 0 0 0 0 1 1 0 26.77 69.46
18 '仙台46ers' push 0 0 0 0 0 0 0 27.15 68.23
19 '秋田ノースラッキーズ' push 0 0 0 0 1 1 0 26.15 65.31
21 '越谷ガンマズ' hold 0 0 0 0 0 0 0 26.77 65.85
25 '滋賀リバーズ' push 0 0 0 0 0 0 1 26.31 67.69
26 '京都ホーネッツ' push 0 0 0 0 1 1 1 25.08 70.54
27 '神戸スパーズ' push 0 0 0 0 0 0 0 26.92 65.15
29 '福岡ファルコンズ' push 0 0 0 0 0 0 0 25.85 65.46
33 '青森ワルツ' push 0 0 0 0 1 1 0 27.62 71.62
38 '奈良ディアーズ' push 0 0 0 0 0 0 0 27.08 65.23
46 '鳥取サキューズ' push 0 0 0 0 1 1 0 27.54 70.46

=== after_offseason_y3 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
1 'エルバード東京' push 0 0 0 0 0 0 0 26.92 67.00
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 28.46 71.15
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 27.08 72.85
4 '宇都宮ブレイバーズ' push 0 0 0 0 0 0 0 26.08 67.69
5 '名古屋ハートホエールズ' hold 0 0 0 0 1 1 0 27.46 68.46
7 '川崎ブレイクライトニング' hold 0 0 0 0 1 1 0 28.38 65.54
11 '広島タイガーランズ' push 0 0 0 0 0 0 4 26.00 69.08
12 'シンライダーズ渋谷' push 1 1 2 0 2 2 0 26.15 69.38
13 '大阪エビーズ' push 0 0 0 0 0 0 0 29.15 68.77
14 '浜松サンダーバーズ' push 1 1 2 0 1 1 1 25.46 65.54
15 '島根カグヅチウィザーズ' push 0 0 0 0 1 1 0 26.38 69.62
18 '仙台46ers' push 0 0 0 0 0 0 0 26.54 67.77
19 '秋田ノースラッキーズ' hold 1 1 2 0 2 2 0 25.15 65.08
21 '越谷ガンマズ' push 0 0 0 0 0 0 0 27.62 66.38
25 '滋賀リバーズ' push 0 0 0 0 0 0 1 27.23 67.77
26 '京都ホーネッツ' push 0 0 0 0 1 1 1 24.69 70.23
27 '神戸スパーズ' push 1 1 2 0 1 1 0 27.08 65.38
29 '福岡ファルコンズ' hold 0 0 0 0 0 0 0 24.08 65.46
33 '青森ワルツ' hold 0 0 0 0 1 1 0 27.00 70.08
38 '奈良ディアーズ' hold 0 0 0 0 0 0 0 27.69 65.85
46 '鳥取サキューズ' push 0 0 0 0 1 1 0 28.54 70.38

Notes: same semantics as club_profile_user15_team_trace.py
